date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-12-13,MRNA,-0.9578,0.071,0.872,0.057,0.0,0.0,1.0,0.0
2020-12-13,PFE,0.9836,0.004,3.922,0.073,1.0593,0.118,3.476,0.40599999999999997
2020-12-14,AZN,3.4600999999999997,0.251,5.229,0.521,-0.9331,0.8049999999999999,6.0969999999999995,0.098
2020-12-14,MRNA,0.9181,0.069,3.825,0.10600000000000001,1.9491,0.0,4.087,0.913
2020-12-14,PFE,0.0,0.0,2.0,0.0,-0.02629999999999999,0.127,2.757,0.116
2020-12-15,AZN,2.5033000000000003,0.138,2.599,0.263,0.5574,0.0,3.714,0.286
2020-12-15,MRNA,0.06720000000000004,0.086,7.731,0.184,1.2246000000000001,0.302,7.106,0.591
2020-12-15,PFE,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
2020-12-16,AZN,1.6141,0.077,1.7650000000000001,0.159,0.3182,0.0,1.796,0.204
2020-12-16,JNJ,1.975,0.061,1.7429999999999999,0.196,0.4588,0.0,1.81,0.19
2020-12-16,MRNA,1.6004,0.216,5.541,0.243,-0.0516,0.23,6.547,0.223
2020-12-16,PFE,1.8676,0.132,3.6580000000000004,0.21000000000000002,0.003300000000000025,0.532,3.1790000000000003,0.28900000000000003
2020-12-17,AZN,0.6908,0.033,0.941,0.025,0.9154,0.0,1.645,0.355
2020-12-17,JNJ,1.9657,0.047,1.812,0.14,0.4019,0.0,1.787,0.213
2020-12-17,MRNA,0.5598000000000001,0.11399999999999999,4.727,0.159,1.1502999999999999,0.368,4.858,0.775
2020-12-17,PFE,0.0,0.0,5.0,0.0,1.0986,0.115,4.319,0.5670000000000001
2020-12-18,AZN,0.4215,0.047,1.8980000000000001,0.054,0.1779,0.129,1.702,0.17
2020-12-18,JNJ,0.0,0.0,1.0,0.0,0.8121,0.0,1.6909999999999998,0.309
2020-12-18,MRNA,4.5287,0.14700000000000002,6.337000000000001,0.516,0.5746,0.0,7.705,0.29500000000000004
2020-12-18,PFE,0.0,0.0,2.0,0.0,0.4939,0.0,2.758,0.242
2020-12-19,AZN,0.8885,0.047,0.854,0.1,0.0,0.0,1.0,0.0
2020-12-19,MRNA,1.9649,0.040999999999999995,1.755,0.203,-0.3818,0.14,1.8599999999999999,0.0
2020-12-20,JNJ,0.0,0.0,1.0,0.0,0.4767,0.0,0.853,0.147
2020-12-20,MRNA,0.9789,0.021,1.915,0.064,0.0,0.0,3.0,0.0
2020-12-20,PFE,-0.7579,0.093,0.846,0.061,-0.1531,0.14,0.86,0.0
2020-12-21,AZN,0.5267,0.033,0.914,0.053,-0.3818,0.168,1.725,0.107
2020-12-21,JNJ,0.9186,0.006,1.943,0.051,0.0,0.0,2.0,0.0
2020-12-21,MRNA,0.31909999999999994,0.16,3.4829999999999997,0.356,-0.10300000000000001,0.28099999999999997,4.398,0.321
2020-12-21,PFE,2.8994999999999997,0.152,5.522,0.325,1.4819,0.121,4.872,1.0070000000000001
2020-12-22,AZN,1.9465,0.18,3.44,0.379,-0.9175,0.569,3.1029999999999998,0.328
2020-12-22,MRNA,1.9060000000000001,0.061,6.758,0.182,0.015000000000000013,0.515,6.1419999999999995,0.342
2020-12-22,PFE,0.0,0.0,3.0,0.0,0.329,0.046,3.806,0.14900000000000002
2020-12-23,AZN,2.802,0.062,2.664,0.275,0.3818,0.0,3.841,0.159
2020-12-23,MRNA,0.9976,0.018,2.887,0.095,0.96,0.23,6.083,0.6869999999999999
2020-12-23,PFE,1.9579,0.049,2.726,0.224,0.25,0.089,3.7880000000000003,0.123
2020-12-24,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-12-24,MRNA,1.4468,0.108,1.726,0.166,0.8422,0.23,2.161,0.609
2020-12-24,PFE,0.0,0.0,2.0,0.0,0.4215,0.0,1.682,0.318
2020-12-26,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-12-26,MRNA,0.9665,0.022,0.889,0.089,0.0258,0.0,0.891,0.109
2020-12-26,PFE,0.9305,0.024,0.929,0.048,0.0,0.0,1.0,0.0
2020-12-27,AZN,0.9305,0.041,0.869,0.09,0.4767,0.0,0.78,0.22
2020-12-28,AZN,1.9006,0.161,6.501,0.338,3.1918,0.12,8.455,1.425
2020-12-28,PFE,2.808,0.166,2.48,0.353,0.2023,0.0,4.87,0.13
2020-12-29,AZN,2.9404,0.064,4.564,0.372,1.3247999999999998,0.0,5.465,0.535
2020-12-29,MRNA,1.9865,0.014,3.795,0.191,-0.08579999999999999,0.12,4.664,0.216
